"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Alaska,AK,99755,1,0,0,0,86,0.00,0.00,-9.13,0.00
Alaska,AK,99762,21,10,763,31,"5,721",13.34,4.06,5.31,-1.66
Alaska,AK,99777,1,0,0,0,44,0.00,0.00,0.00,0.00
Alaska,AK,99780,3,2,250,51,"2,053",12.18,20.40,-8.12,11.89
Alaska,AK,99801,112,53,"2,533",187,"33,850",7.48,7.38,-0.81,-0.01
Alaska,AK,99826,1,1,18,0,209,8.61,0.00,8.61,0.00
Alaska,AK,99827,5,4,89,0,"2,022",4.40,0.00,-2.66,0.00
Alaska,AK,99829,1,1,12,0,228,5.26,0.00,5.26,0.00
Alaska,AK,99830,1,1,46,0,"1,472",3.13,0.00,-5.77,-14.41
Alaska,AK,99833,5,2,152,29,"1,439",10.56,19.08,2.21,-5.08
Alaska,AK,99835,35,12,988,120,"13,749",7.19,12.15,-1.25,4.90
Alaska,AK,99840,4,0,0,0,374,0.00,0.00,-4.64,0.00
Alaska,AK,99901,54,25,"2,189",277,"42,510",5.15,12.65,-2.99,-3.01
Alaska,AK,99919,1,0,0,0,79,0.00,0.00,0.00,0.00
Alaska,AK,99921,3,2,118,0,"1,850",6.38,0.00,-1.52,-16.08
Alaska,AK,99922,2,1,11,0,574,1.92,0.00,1.92,0.00
Alaska,AK,99925,7,4,510,66,"4,034",12.64,12.94,-1.03,-6.59
Alaska,AK,99926,1,1,22,0,331,6.65,0.00,-1.00,0.00
Alaska,AK,99929,7,6,442,13,"5,045",8.76,2.94,1.27,0.19
Arizona,AZ,85003,22,6,244,20,"13,275",1.84,8.20,-0.76,-3.30
Arizona,AZ,85004,218,113,"38,641","6,196","283,280",13.64,16.03,5.51,0.22
Arizona,AZ,85006,721,341,"32,772","3,304","458,259",7.15,10.08,0.38,0.81
Arizona,AZ,85007,29,16,"1,474",28,"34,458",4.28,1.90,-2.24,-2.92
Arizona,AZ,85008,391,134,"7,256",455,"209,128",3.47,6.27,-1.76,-7.29
Arizona,AZ,85009,16,9,499,83,"11,473",4.35,16.63,-3.00,1.97
Arizona,AZ,85012,242,102,"16,629","2,752","238,101",6.98,16.55,-1.84,-2.37
Arizona,AZ,85013,529,238,"15,022",646,"271,806",5.53,4.30,-2.71,-2.50
Arizona,AZ,85014,126,40,"2,854",85,"86,571",3.30,2.98,-0.93,0.86
Arizona,AZ,85015,193,106,"21,176","2,868","260,489",8.13,13.54,-0.24,3.40
